Ticker,Shares_Outstanding,Market_Cap
A,282431944.0,37159571456.0
AABA,,
AAL,661385137.0,11531249664.0
AAMRQ,,
AAP,60329208.0,3496680960.0
AAPL,14687356000.0,4305892409344.0
ABBV,1766792821.0,415125667840.0
ABC,,
ABI,,
ABKFQ,,
ABMD,,
ABNB,417930233.0,85708046336.0
ABS,,
ABT,1741813154.0,157651501056.0
ABX,95922367.0,893996416.0
ACAS,,
ACGL,349389588.0,33164060672.0
ACKH,,
ACN,611942109.0,79050670080.0
ACS,,
ACV,10396028.0,284747200.0
ADBE,397500000.0,78136573952.0
ADCT,127191158.0,136730496.0
ADI,487087040.0,201244884992.0
ADM,481956527.0,36194934784.0
ADP,399734282.0,87885578240.0
ADS,,
ADSK,211145251.0,40668688384.0
ADT,705806827.0,4977808896.0
AEE,276751616.0,31372562432.0
AEOS,,
AEP,544105032.0,73426968576.0
AES,713157713.0,10476285952.0
AET,,
AFL,508984904.0,59917701120.0
AFS.A,,
AGC,,
AGN,,
AHM,,
AIG,530206221.0,40369901568.0
AIT,36959541.0,12337278976.0
AIV,143856183.0,419340736.0
AIZ,49547637.0,13075126272.0
AJG,256942000.0,56704532480.0
AKAM,145385451.0,17370654720.0
AKS,,
AL,,
ALB,117934651.0,17436639232.0
ALGN,71618127.0,12239537152.0
ALK,111428978.0,5749734912.0
ALL,257420930.0,60130955264.0
ALLE,85935861.0,11506811904.0
ALNY,133512573.0,39260708864.0
ALTR,,
ALXN,,
AM,474980000.0,10530307072.0
AMAT,793959430.0,467614334976.0
AMCC,,
AMCR,462345690.0,19289987072.0
AMD,1630600639.0,846371356672.0
AME,229203002.0,53952094208.0
AMG,26412085.0,8958186496.0
AMGN,539708274.0,189650780160.0
AMH,359179944.0,13436177408.0
AMLN,,
AMP,89897084.0,41425477632.0
AMT,465893069.0,81279705088.0
AMTM,244316319.0,4976723456.0
AMZN,10757109436.0,2521143705600.0
AN,33461495.0,6518801408.0
ANDV,,
ANDW,,
ANET,1259169438.0,203828051968.0
ANF,44431710.0,3949090560.0
ANRZQ,,
ANSS,,
ANTM,,
ANV,,
AON,213576949.0,69508620288.0
AOS,111965465.0,8293837312.0
APA,353470227.0,11781164032.0
APC,12570223.0,1514750720.0
APCC,,
APD,222680686.0,62049972224.0
APH,1230234445.0,200196046848.0
APO,576517513.0,70646456320.0
APOL,,
APP,305732000.0,156255551488.0
APTV,211620527.0,12786111488.0
AR,309836000.0,10755956736.0
ARC,,
ARE,174269480.0,8930439168.0
ARES,222028421.0,37559635968.0
ARG,,
ARM,1068078760.0,383563104256.0
ARNC,,
AS,581822024.0,20421951488.0
ASC,40802614.0,691400320.0
ASH,45787777.0,2905692160.0
ASML,385417665.0,679684079616.0
ASN,,
ASND,65576126.0,15592691712.0
ASO,62018371.0,3175960832.0
AT,,
ATGE,,
ATI,136470427.0,26978840576.0
ATO,166919822.0,28797007872.0
ATVI,,
AV,,
AVB,141872069.0,26044874752.0
AVGO,4757580198.0,1817776226304.0
AVP,,
AVY,76490385.0,12483995648.0
AW,,
AWE,,
AWK,195280521.0,25319096320.0
AXON,80602077.0,36806135808.0
AXP,682326443.0,233778692096.0
AYE,,
AYI,30315168.0,9263102976.0
AZA.A,,
AZN,1550862203.0,283078885376.0
AZO,16325355.0,50466570240.0
BA,788302331.0,173615710208.0
BAC,7096590651.0,409792643072.0
BALL,266246511.0,16245030912.0
BATRA,10318187.0,3602316800.0
BATRK,52847883.0,3313669632.0
BAX,516469008.0,10871310336.0
BAY,,
BBBY,74493795.0,498735936.0
BBI,,
BBT,83816086.0,2563934208.0
BBWI,201561812.0,4396062720.0
BBY,210767126.0,16361850880.0
BC,64974438.0,5515030528.0
BCR,,
BDK,,
BDX,275540427.0,40702828544.0
BEAM,102879214.0,3487605504.0
BEAS,,
BEN,519637162.0,16883011584.0
BEV,,
BF.B,,
BFI,,
BFO,,
BG,194018115.0,21142153216.0
BGEN,,
BGG,,
BHF,57445785.0,3624254464.0
BHGE,,
BHMSQ,,
BIDU,274750119.0,36686041088.0
BIG,,
BIIB,147637117.0,29466892288.0
BIO,21700560.0,7494050304.0
BJS,,
BK,686379000.0,94143750144.0
BKB,,
BKNG,774878436.0,140466094080.0
BKR,992068697.0,55912992768.0
BLDR,107559876.0,9194218496.0
BLK,155233989.0,159940034560.0
BLL,,
BLS,,
BLY,,
BMC,,
BMET,,
BMGCA,,
BMRN,193284438.0,11080996864.0
BMS,,
BMY,2042071247.0,112324132864.0
BNI,,
BNL,191766555.0,4221320192.0
BOAT,,
BOL,,
BR,115658297.0,16195631104.0
BRCM,,
BRK.B,,
BRL,,
BRO,338947841.0,20950366208.0
BSC,,
BSX,1486355179.0,66083352576.0
BT,,
BTUUQ,,
BUD,1712181593.0,163325853696.0
BVSN,,
BWA,205114941.0,13984737280.0
BX,742180737.0,138176724992.0
BXLT,,
BXP,159477391.0,11438678016.0
C,1705576955.0,245202272256.0
CA,,
CAG,478437156.0,6509137408.0
CAH,234205855.0,54607437824.0
CAL,33589744.0,436330752.0
CAM,,
CAR,35324986.0,6192116224.0
CARR,830580423.0,61508632576.0
CASY,37004914.0,29653884928.0
CAT,460591983.0,458090971136.0
CB,387860106.0,130014576640.0
CBB,,
CBE,,
CBH,,
CBOE,104653784.0,26232518656.0
CBRE,292816579.0,39211069440.0
CBS,,
CBSS,,
CCE,,
CCEP,442777049.0,43746373632.0
CCI,436451983.0,35869802496.0
CCK,111746617.0,12174793728.0
CCL,1239000212.0,40037462016.0
CCTYQ,,
CCU,184751436.0,2053195136.0
CDAY,,
CDNS,275816000.0,102727671808.0
CDW,127753451.0,16636054528.0
CDWC,,
CE,109662539.0,5265995264.0
CEG,357102017.0,95692627968.0
CELG,,
CEN,,
CEPH,,
CERN,,
CF,153629274.0,15837641728.0
CFC,,
CFG,422881942.0,29373380608.0
CFL,,
CFN,,
CG,359974427.0,14780551168.0
CGP,,
CHA,125489219.0,2241469184.0
CHD,236943602.0,23379224576.0
CHIR,,
CHK,,
CHKP,104027807.0,12970186752.0
CHRS,154249900.0,234459856.0
CHRW,117873042.0,20898299904.0
CHTR,141178369.0,20590669824.0
CI,264532404.0,73924894720.0
CIEN,141552922.0,65572978688.0
CIN,,
CINF,154686742.0,27603847168.0
CIT.A,,
CITGQ,,
CKFR,,
CL,800189310.0,73529393152.0
CLF,570414657.0,6032134656.0
CLX,120921351.0,11539524608.0
CMA,,
CMB,,
CMCSA,3562784182.0,80875249664.0
CMCSK,,
CME,361319613.0,83675119616.0
CMG,1282734000.0,40669081600.0
CMI,137989067.0,95859630080.0
CMS,308919602.0,23623084032.0
CMVT,,
CMX,,
CNC,493797000.0,31089457152.0
CNG,,
CNP,654169480.0,28695144448.0
CNW,,
CNX,141477594.0,4771332096.0
CNXT,,
COC.B,,
COF,616019481.0,123514986496.0
COG,,
COHR,195639321.0,76782567424.0
COIN,222426875.0,39550730240.0
COL,,
COMS,2695238.0,4312.0
COO,195030630.0,13423958016.0
COP,1218294007.0,130296545280.0
COR,194561060.0,55373049856.0
COST,443478804.0,426169827328.0
COTY,880466438.0,1712507264.0
COV,,
CPAY,65361919.0,22510972928.0
CPB,298206243.0,6629124608.0
CPGX,,
CPNLQ,,
CPQ,,
CPRI,114796106.0,2197197312.0
CPRT,963308388.0,29284575232.0
CPT,99090596.0,11026800640.0
CPWR,190012124.0,1311083.0
CR,57745686.0,12357000192.0
CRH,668200216.0,74858463232.0
CRL,48167730.0,9731325952.0
CRM,819000000.0,125143203840.0
CRR,,
CRWD,254564820.0,171327209472.0
CSCO,3941434665.0,471947378688.0
CSE,,
CSGP,408355715.0,12166958080.0
CSR,16803148.0,1005611456.0
CSRA,,
CSX,1858138856.0,85585879040.0
CTAS,400136881.0,68395397120.0
CTB,,
CTL,,
CTLT,,
CTRA,759356619.0,24724652032.0
CTRX,,
CTSH,473000000.0,19594024960.0
CTVA,668820000.0,53559103488.0
CTX,,
CTXS,,
CVC,,
CVG,,
CVH,,
CVNA,716288385.0,74502569984.0
CVS,1275927307.0,130119073792.0
CVX,1991597732.0,341688451072.0
CXO,,
CYM,,
CZR,203693576.0,6029329920.0
D,879512484.0,60919435264.0
DAL,656994340.0,59559825408.0
DALRQ,,
DASH,411336610.0,77527425024.0
DAY,,
DCNAQ,,
DD,135019400.0,18604320768.0
DDOG,330825798.0,79254536192.0
DDR,,
DDS,11630836.0,9076004864.0
DE,270107282.0,162507358208.0
DEC,72323471.0,923570752.0
DECK,138880957.0,14683884544.0
DELL,325046693.0,280438702080.0
DF,,
DFS,,
DG,220586647.0,26296133632.0
DGN,,
DGX,110696429.0,22487980032.0
DHI,283579613.0,47198990336.0
DHR,707770627.0,133690793984.0
DI,,
DIGI,150232167.0,15023.0
DIS,1736511424.0,175691563008.0
DISCA,,
DISCK,,
DISH,,
DJ,,
DLR,351406070.0,69034131456.0
DLTR,192174588.0,22936037376.0
DLX,45784061.0,1074551808.0
DNB,,
DNR,,
DO,,
DOC,689419702.0,14353718272.0
DOCU,190944608.0,8447389696.0
DOV,134661414.0,30223407104.0
DOW,720741438.0,21175382016.0
DPHIQ,,
DPZ,33261870.0,9567776768.0
DRE,,
DRI,114535003.0,24454367232.0
DTE,208028313.0,31441399808.0
DTV,,
DUK,779596217.0,98618925056.0
DVA,64185000.0,13669928960.0
DVN,1153403107.0,49302216704.0
DWD,,
DWDP,,
DXC,162080263.0,1360663808.0
DXCM,385872977.0,26906925056.0
DYN,165313796.0,3360829440.0
EA,250751484.0,51283693568.0
EBAY,444000000.0,48595800064.0
EC,2055834735.0,29994629120.0
ECH,8850000.0,
ECL,281437502.0,77748518912.0
ECO,39044655.0,2125981568.0
ED,368529705.0,40792551424.0
EDS,,
EFU,,
EFX,119072409.0,19019251712.0
EG,39571602.0,13683067904.0
EHC,99199080.0,10140625920.0
EIX,384793941.0,28555558912.0
EKDKQ,,
EL,247287571.0,30124853248.0
ELV,217162380.0,83386015744.0
EMC,,
EME,44440278.0,37727100928.0
EMN,114349960.0,8043375616.0
EMR,560100000.0,79270944768.0
ENDP,,
ENPH,131798220.0,6301932032.0
ENRNQ,,
ENS,36517773.0,8001409024.0
EOG,532628530.0,71633215488.0
EOP,,
EP,39792204.0,109030640.0
EPAM,52244451.0,4094397952.0
EQ,63226556.0,180195680.0
EQIX,98624248.0,107993554944.0
EQR,374712144.0,25580023808.0
EQT,625478000.0,32215246848.0
ERIC,3051713196.0,36978315264.0
ERIE,46189068.0,12002093056.0
ES,376080025.0,26968698880.0
ESRX,,
ESS,64261739.0,19423399936.0
ESV,,
ETFC,,
ETN,388300000.0,157148889088.0
ETR,457886847.0,52501307392.0
ETS,12550005.0,11972480.0
ETSY,94896231.0,7404752896.0
EVHC,,
EVRG,230513025.0,19780321280.0
EW,575800000.0,51620470784.0
EXC,1023208142.0,47973109760.0
EXE,239228849.0,21195675648.0
EXPD,130791133.0,20944891904.0
EXPE,114498625.0,31463788544.0
EXR,211260936.0,32214691840.0
F,3913840554.0,55207915520.0
FANG,281313297.0,51618181120.0
FAST,1148035061.0,53108101120.0
FB,,
FBF,,
FBHS,,
FCN,30144043.0,4346167808.0
FCX,1437559865.0,88898699264.0
FDC,,
FDO,,
FDS,36431127.0,7885517312.0
FDX,238606756.0,75693219840.0
FDXF,148906159.0,23909117952.0
FE,578431175.0,27651901440.0
FER,715786287.0,49775779840.0
FFIV,56419247.0,21708998656.0
FG,132484990.0,3504228096.0
FHN,474617813.0,11993592832.0
FI,,
FICO,23190906.0,26425341952.0
FII,,
FIS,516879151.0,19969624064.0
FISV,533253986.0,25697509376.0
FITB,906311548.0,49878855680.0
FIX,35183967.0,68762492928.0
FJ,,
FL,,
FLEX,366377923.0,55198498816.0
FLIR,,
FLMIQ,,
FLR,139669896.0,7429041152.0
FLS,127807021.0,9318410240.0
FLT,,
FLTWQ,,
FMC,125045301.0,1415512832.0
FMCC,650059553.0,4212386048.0
FMCN,,
FMY,4213115.0,49735824.0
FNMA,1158087567.0,8245583360.0
FOSL,59101598.0,238179456.0
FOX,220426203.0,19050891264.0
FOXA,199474449.0,20911050752.0
FPC,,
FRC,,
FRO,222622889.0,9062977536.0
FRT,86389197.0,10833509376.0
FRX,,
FSH,,
FSL,,
FSLR,107453363.0,26709682176.0
FTI,398701897.0,25636532224.0
FTL.A,,
FTNT,732648391.0,106431832064.0
FTR,,
FTV,304861021.0,18410557440.0
FWLT,,
G,169506510.0,4836020736.0
GAPTQ,,
GAS,,
GD,270430187.0,93171310592.0
GDDY,132409847.0,10772203520.0
GDT,,
GDW,,
GE,1043337235.0,382104633344.0
GEHC,454891786.0,29506553856.0
GEN,602433854.0,14193341440.0
GENZ,,
GEV,268719995.0,284166029312.0
GFS,548700833.0,45926260736.0
GFS.A,,
GGP,,
GHC,3343083.0,5066035200.0
GIDL,,
GILD,1241569874.0,155382480896.0
GIS,533681218.0,18572105728.0
GL,77644761.0,13642960896.0
GLD,260300000.0,
GLK,,
GLW,860637825.0,177110646784.0
GM,901665195.0,71209009152.0
GMCR,,
GME,448691257.0,9622183936.0
GNRC,58868681.0,16726358016.0
GNT,16185959.0,130782544.0
GNW,383009256.0,3558155776.0
GOLD,29004374.0,1196720384.0
GOOG,5499638298.0,4210192547840.0
GOOGL,5867155790.0,4213304197120.0
GP,5029321.0,6286651.0
GPC,137624545.0,15405686784.0
GPN,273543507.0,18352033792.0
GPS,,
GPU,,
GR,,
GRA,,
GRMN,192856206.0,46310563840.0
GRN,,
GS,295007421.0,317590241280.0
GSX,,
GT,287438631.0,1807988992.0
GTE,35359890.0,218347312.0
GTW,,
GWF,,
GWW,47213119.0,63397781504.0
GX,,
H,41030133.0,18580910080.0
HAL,835397735.0,28324159488.0
HANS,,
HAR,,
HAS,141490692.0,11783344128.0
HBAN,2027130587.0,35606548480.0
HBI,,
HBOC,,
HCA,221839800.0,86067191808.0
HCBK,,
HCP,,
HCR,,
HD,997116682.0,341801631744.0
HES,,
HET,,
HFC,,
HFS,,
HI,,
HIG,274130820.0,36272992256.0
HII,39404029.0,11022489600.0
HLT,227648372.0,78151680000.0
HM,,
HMA,,
HNZ,,
HOG,105268302.0,2690657792.0
HOLX,,
HON,633653119.0,144105390080.0
HOOD,791184698.0,87542595584.0
HOT,,
HP,99930952.0,3274737408.0
HPC,,
HPE,1324203521.0,64581406720.0
HPH,,
HPQ,914522690.0,21317523456.0
HRB,126760207.0,4605832192.0
HRL,550284207.0,14059761664.0
HRS,,
HSH,,
HSIC,113916757.0,9434586112.0
HSP,,
HST,684879281.0,17052775424.0
HSY,148229858.0,37116280832.0
HUBB,52841777.0,27384985600.0
HUM,120061500.0,43471867904.0
HWM,400107483.0,110477680640.0
I,,
IAC,68597997.0,3142127872.0
IACI,,
IBKR,445484364.0,157392453632.0
IBM,939885280.0,247133454336.0
ICE,565512495.0,73513795584.0
IDXX,78882997.0,43312287744.0
IEX,74015052.0,16442075136.0
IFF,255303473.0,19353280512.0
IGT,,
IKN,,
ILMN,151300000.0,26485065728.0
IMNX,,
INCLF,,
INCY,199782155.0,21668372480.0
INFO,,
INFY,4048927919.0,44396494848.0
INGR,63059061.0,6185462784.0
INSM,216752451.0,22429544448.0
INTC,5026000000.0,662979674112.0
INTU,273537000.0,71756955648.0
INVH,594041956.0,17604433920.0
IP,529516974.0,20280498176.0
IPG,,
IPGP,42443616.0,4572026368.0
IQV,166900000.0,30974969856.0
IR,391336834.0,30649499648.0
IRM,297524681.0,38849282048.0
ISRG,354162842.0,142334509056.0
IT,66951889.0,8735212544.0
ITT,89402646.0,17483728896.0
ITW,287700000.0,75866497024.0
IVZ,443296629.0,11521280000.0
J,118080879.0,14407048192.0
JAVA,,
JBHT,94299203.0,25358942208.0
JBL,105502622.0,39224819712.0
JCI,610115603.0,87136714752.0
JCP,,
JD,1350500000.0,34410737664.0
JEC,,
JEF,204432307.0,11852985344.0
JH,,
JHF,,
JKHY,71050780.0,9098052608.0
JNJ,2407216971.0,580187455488.0
JNPR,,
JNS,,
JNY,,
JOS,,
